anchor,mix_ent,V,absorbed,dim,dataset,seed,ks_true
810,0.39984882,0.7887773574605692,1.0,3,sphere,1,6.0
169,0.031592183,0.5458940783507633,1.0,3,sphere,1,6.0
656,0.1454319,0.7815432280889603,1.0,3,sphere,1,6.0
1005,0.14851205,0.45941116820306543,1.0,3,sphere,1,6.0
283,1.1000552,1.182980137781342,0.99999994,3,sphere,1,6.0
616,0.34489208,0.8813248460106686,1.0000001,3,sphere,1,6.0
1566,1.0983424,0.8589019272594351,1.0,3,sphere,1,6.0
1714,0.19568688,0.41912321025567234,1.0,3,sphere,1,6.0
1966,1.4140782,1.2990158562210297,1.0,3,sphere,1,6.0
267,0.11355667,0.7731069723954753,1.0,3,sphere,1,6.0
806,0.012497161,0.18401395904120635,1.0,3,sphere,1,6.0
1618,0.039326146,0.49708150362533077,1.0,3,sphere,1,6.0
1623,0.36524785,0.8839174323822911,1.0000001,3,sphere,1,6.0
510,0.08358794,0.5356140051229612,1.0,3,sphere,1,6.0
