instance,n_traj,method,ks_hat,ks_hat_std,n_seeds_ok,coverage,eval_dist,elapsed_s,err,name,dim,codim,noise,m,ks_true
870,500,traj_dorc,0.0972861945937616,0.0,1,0.995,0.0,2.7,,d6-c1-n0.2-m0,6,1,0.2,0,-34.693294949412
870,500,kmetric_dorc,0.2954223256801088,0.0388051150107083,4,0.995,0.0,342.0,,d6-c1-n0.2-m0,6,1,0.2,0,-34.693294949412
870,500,fbkernel_orc,0.2632035146688293,0.0352902869539713,4,0.995,0.0,342.0,,d6-c1-n0.2-m0,6,1,0.2,0,-34.693294949412
852,500,traj_dorc,0.1775577288459869,0.0,1,0.999,0.0,2.6,,d6-c1-n0.1-m12,6,1,0.1,12,-29.39241479183089
852,500,kmetric_dorc,0.3141657606514138,0.0314365834774088,4,0.999,0.0,336.8,,d6-c1-n0.1-m12,6,1,0.1,12,-29.39241479183089
852,500,fbkernel_orc,0.2622169526214209,0.0306356944195422,4,0.999,0.0,336.8,,d6-c1-n0.1-m12,6,1,0.1,12,-29.39241479183089
849,500,traj_dorc,0.2671072297097354,0.0,1,0.997,0.0,2.9,,d6-c1-n0.1-m9,6,1,0.1,9,-69.16244751925056
849,500,kmetric_dorc,0.3293215757025257,0.0455193021546787,4,0.997,0.0,338.3,,d6-c1-n0.1-m9,6,1,0.1,9,-69.16244751925056
849,500,fbkernel_orc,0.3437263678703019,0.028579807547818,4,0.997,0.0,338.3,,d6-c1-n0.1-m9,6,1,0.1,9,-69.16244751925056
846,500,traj_dorc,0.325281348841543,0.0,1,0.998,0.0,2.3,,d6-c1-n0.1-m6,6,1,0.1,6,68.02202730824673
846,500,kmetric_dorc,0.2985341972604348,0.0692219192009363,4,0.998,0.0,336.3,,d6-c1-n0.1-m6,6,1,0.1,6,68.02202730824673
846,500,fbkernel_orc,0.3242967717195292,0.0333234050640715,4,0.998,0.0,336.3,,d6-c1-n0.1-m6,6,1,0.1,6,68.02202730824673
843,500,traj_dorc,0.0731844333416743,0.0,1,0.997,0.0,2.9,,d6-c1-n0.1-m3,6,1,0.1,3,-67.23454284811166
843,500,kmetric_dorc,0.2845082671907157,0.0336095470800819,4,0.997,0.0,339.6,,d6-c1-n0.1-m3,6,1,0.1,3,-67.23454284811166
843,500,fbkernel_orc,0.2851435565219511,0.0325959502483636,4,0.997,0.0,339.6,,d6-c1-n0.1-m3,6,1,0.1,3,-67.23454284811166
840,500,traj_dorc,0.0801859041947501,0.0,1,0.996,0.0,3.4,,d6-c1-n0.1-m0,6,1,0.1,0,-39.57480106909405
840,500,kmetric_dorc,0.2984747253347566,0.0381555326392933,4,0.996,0.0,340.6,,d6-c1-n0.1-m0,6,1,0.1,0,-39.57480106909405
840,500,fbkernel_orc,0.3188004606552422,0.0173827626651032,4,0.996,0.0,340.6,,d6-c1-n0.1-m0,6,1,0.1,0,-39.57480106909405
822,500,traj_dorc,0.0825175947177673,0.0,1,0.995,0.0,2.6,,d6-c1-n0.05-m12,6,1,0.05,12,-7.917380679276863
822,500,kmetric_dorc,0.3029121104245424,0.0216017332358753,4,0.995,0.0,337.8,,d6-c1-n0.05-m12,6,1,0.05,12,-7.917380679276863
822,500,fbkernel_orc,0.2733118824749926,0.0536548788285597,4,0.995,0.0,337.8,,d6-c1-n0.05-m12,6,1,0.05,12,-7.917380679276863
819,500,traj_dorc,0.2576367667330104,0.0,1,0.996,0.0,3.0,,d6-c1-n0.05-m9,6,1,0.05,9,18.013705493536783
819,500,kmetric_dorc,0.2913335516601769,0.0510940012013591,4,0.996,0.0,335.3,,d6-c1-n0.05-m9,6,1,0.05,9,18.013705493536783
819,500,fbkernel_orc,0.3105140746385722,0.0198501665680415,4,0.996,0.0,335.3,,d6-c1-n0.05-m9,6,1,0.05,9,18.013705493536783
816,500,traj_dorc,0.2475976945097487,0.0,1,0.998,0.0,2.5,,d6-c1-n0.05-m6,6,1,0.05,6,20.366556504039107
816,500,kmetric_dorc,0.2954754209721812,0.0844157579949995,4,0.998,0.0,336.1,,d6-c1-n0.05-m6,6,1,0.05,6,20.366556504039107
816,500,fbkernel_orc,0.2790596690761014,0.0617004749822384,4,0.998,0.0,336.1,,d6-c1-n0.05-m6,6,1,0.05,6,20.366556504039107
813,500,traj_dorc,0.1413549554146969,0.0,1,0.997,0.0,2.9,,d6-c1-n0.05-m3,6,1,0.05,3,-23.29512109554493
813,500,kmetric_dorc,0.2698251195646925,0.0141459654536436,4,0.997,0.0,335.8,,d6-c1-n0.05-m3,6,1,0.05,3,-23.29512109554493
