instance,graph,neighbor_scale,err,dim,noise,ks_true,s1,ent_t1,ent_t2,ent_t4,ent_t8,ent_t16,ent_t32
313,adaptive_k25,,,2,0.01,-2.9443229796812918,0.2090733647346496,5.027513980865479,5.717129230499268,6.398034572601318,7.055789470672607,7.570747375488281,7.847657680511475
313,adaptive_k50,,,2,0.01,-2.9443229796812918,0.2877333760261535,5.72096061706543,6.416396617889404,7.081396579742432,7.588299751281738,7.854281902313232,7.963608741760254
313,cak_40,1.3642873251166436,,2,0.01,-2.9443229796812918,0.0187995620071887,1.1041598320007324,1.5149914026260376,2.0128817558288574,2.5989773273468018,3.2046806812286377,3.787710905075073
313,cak_80,1.956636291665284,,2,0.01,-2.9443229796812918,0.040577620267868,1.9559978246688845,2.5898399353027344,3.254953145980835,3.923283338546753,4.602452754974365,5.280652523040772
313,cak_160,2.830858646063327,,2,0.01,-2.9443229796812918,0.0749421119689941,2.8341493606567383,3.5590710639953613,4.295956611633301,5.011879920959473,5.698230266571045,6.387064456939697
452,adaptive_k10,,,3,0.05,-8.503913817275507,0.4063324928283691,5.2678327560424805,6.313852787017822,7.159592628479004,7.637368679046631,7.867985725402832,7.960860729217529
452,adaptive_k25,,,3,0.05,-8.503913817275507,0.5826429724693298,6.315666675567627,7.147914409637451,7.623132228851318,7.859262943267822,7.955606937408447,7.981167793273926
452,adaptive_k50,,,3,0.05,-8.503913817275507,0.7476716041564941,6.956357002258301,7.528814792633057,7.815686702728271,7.941158294677734,7.978940010070801,7.989274024963379
452,cak_40,0.7307316825138189,,3,0.05,-8.503913817275507,0.039266288280487,0.9603231549263,1.406658172607422,1.9323514699935915,2.5315067768096924,3.2099416255950928,3.925589799880981
452,cak_80,0.9470096180088456,,3,0.05,-8.503913817275507,0.0842969790101051,1.7637001276016235,2.449496030807495,3.203591108322144,3.975051879882813,4.7059102058410645,5.444430828094482
