anchor,mix_ent,V,absorbed,dim,dataset,seed,ks_true
351,0.18726769,0.917614409697432,1.0,3,plane,3,0.0
1590,0.69132817,1.3707504956614867,1.0000001,3,plane,3,0.0
1388,0.19524755,0.8484428437329,0.99999994,3,plane,3,0.0
907,0.17673229,0.3735952458644114,0.99999994,3,sphere,1,6.0
542,0.02475468,0.11975549158016884,1.0,3,sphere,1,6.0
769,1.2452596,1.0561279659674203,0.99999994,3,sphere,1,6.0
903,1.2240359,1.1751535805191493,1.0,3,sphere,1,6.0
249,0.29387948,0.3829503126949957,1.0,3,sphere,1,6.0
839,0.3078842,0.5415059590609862,1.0,3,sphere,1,6.0
528,1.1586587,0.8505407442756268,1.0,3,sphere,1,6.0
1662,0.024308877,0.34802433669426047,1.0,3,sphere,1,6.0
56,0.56527394,0.5753052114895417,1.0,3,sphere,1,6.0
247,1.0200382,0.8846410362350631,1.0,3,sphere,1,6.0
1635,0.089963585,0.5131010407865153,1.0,3,sphere,1,6.0
69,0.63099104,0.8334166050319785,1.0,3,sphere,1,6.0
1804,1.121907,0.8514891815369492,1.0000001,3,sphere,1,6.0
812,1.0407146,0.7856999772422979,1.0,3,sphere,1,6.0
171,0.12441768,0.8255752282576769,1.0,3,sphere,1,6.0
658,0.57177925,0.6288094154751588,1.0,3,sphere,1,6.0
1007,0.15605803,0.6481743611262989,1.0,3,sphere,1,6.0
284,0.7587349,0.8857087773754413,1.0,3,sphere,1,6.0
617,0.6802712,0.6733876553977829,1.0,3,sphere,1,6.0
1568,0.003810833,0.0917089367217256,1.0,3,sphere,1,6.0
1715,0.06427453,0.4777758244368759,1.0,3,sphere,1,6.0
1966,0.020687448,0.6951396924469588,1.0,3,sphere,1,6.0
268,0.96313816,0.47476602885603936,1.0,3,sphere,1,6.0
808,0.063764915,0.35513225527187303,1.0,3,sphere,1,6.0
1620,0.84487116,0.8434707670351014,1.0,3,sphere,1,6.0
1624,1.3285184,1.1928214007337885,1.0,3,sphere,1,6.0
511,0.49714157,0.9325417471826877,1.0,3,sphere,1,6.0
494,0.32369727,0.7162577669120709,1.0000001,3,sphere,1,6.0
1495,0.5684515,0.5089124052574482,1.0,3,sphere,1,6.0
409,0.008949049,0.197126962286279,1.0,3,sphere,1,6.0
1997,0.09575652,0.762188183825998,1.0,3,sphere,1,6.0
1071,0.008667718,0.26866607150043076,1.0,3,sphere,1,6.0
1946,0.74064696,0.6804155890409324,0.99999994,3,sphere,1,6.0
1865,0.25643045,0.43905129034754087,1.0,3,sphere,1,6.0
1275,0.10116705,0.6938459206906651,1.0,3,sphere,1,6.0
1091,0.65439516,0.6389939006150969,0.99999994,3,sphere,1,6.0
1713,0.9095447,0.5435241363426857,1.0000001,3,sphere,1,6.0
1484,0.04195402,0.4938255549379913,1.0,3,sphere,1,6.0
606,1.2125245,0.7635335954576772,0.99999994,3,sphere,1,6.0
931,0.10441817,0.3990609354503012,1.0,3,sphere,1,6.0
80,0.17980298,0.5432297823966149,1.0,3,sphere,2,6.0
1642,0.10117241,0.3379306086875825,1.0,3,sphere,2,6.0
