instance,point,kind,dim,noise,seed,ks_true,sent
13,706,sphere,2,0.05,1,4.937568035254562,6.734253625189096
13,52,sphere,2,0.05,1,4.937568035254562,6.734215494319521
13,1422,sphere,2,0.05,1,4.937568035254562,6.723913832564811
13,1233,sphere,2,0.05,1,4.937568035254562,6.732603070380678
13,215,sphere,2,0.05,1,4.937568035254562,6.688054231342079
13,1128,sphere,2,0.05,1,4.937568035254562,6.6997454479785485
13,764,sphere,2,0.05,1,4.937568035254562,6.712344641989647
14,1421,sphere,2,0.15,1,4.937568035254562,6.777533362663131
14,706,sphere,2,0.15,1,4.937568035254562,6.75565978942358
14,52,sphere,2,0.15,1,4.937568035254562,6.754965155592917
14,1422,sphere,2,0.15,1,4.937568035254562,6.740701666623633
14,1233,sphere,2,0.15,1,4.937568035254562,6.760875333345647
14,215,sphere,2,0.15,1,4.937568035254562,6.717991339187712
14,1128,sphere,2,0.15,1,4.937568035254562,6.722014383304913
14,764,sphere,2,0.15,1,4.937568035254562,6.743330797808227
15,137,sphere,2,0.0,2,4.925490064133888,6.717501822428192
15,390,sphere,2,0.0,2,4.925490064133888,6.789180552818194
15,1250,sphere,2,0.0,2,4.925490064133888,6.694004552558151
15,1219,sphere,2,0.0,2,4.925490064133888,6.730091085421138
15,446,sphere,2,0.0,2,4.925490064133888,6.6960532118462295
15,676,sphere,2,0.0,2,4.925490064133888,6.705271768539332
15,619,sphere,2,0.0,2,4.925490064133888,6.753412128006103
15,163,sphere,2,0.0,2,4.925490064133888,6.7108112273078
16,137,sphere,2,0.05,2,4.925490064133888,6.722936771782031
16,390,sphere,2,0.05,2,4.925490064133888,6.792801761655701
16,1250,sphere,2,0.05,2,4.925490064133888,6.701280517239271
16,1219,sphere,2,0.05,2,4.925490064133888,6.729627133005445
16,446,sphere,2,0.05,2,4.925490064133888,6.702524851997806
16,676,sphere,2,0.05,2,4.925490064133888,6.709041151724939
16,619,sphere,2,0.05,2,4.925490064133888,6.753151060092061
16,163,sphere,2,0.05,2,4.925490064133888,6.711919461042712
17,137,sphere,2,0.15,2,4.925490064133888,6.749384932816593
17,390,sphere,2,0.15,2,4.925490064133888,6.806796797532758
17,1250,sphere,2,0.15,2,4.925490064133888,6.724027960641944
17,1219,sphere,2,0.15,2,4.925490064133888,6.742773916962209
17,446,sphere,2,0.15,2,4.925490064133888,6.72676367981112
17,676,sphere,2,0.15,2,4.925490064133888,6.733948130186211
17,619,sphere,2,0.15,2,4.925490064133888,6.767912118392886
17,163,sphere,2,0.15,2,4.925490064133888,6.733744017860055
18,1269,sphere,2,0.0,0,4.940754995073699,6.679223817523397
18,112,sphere,2,0.0,0,4.940754995073699,6.648515598778413
18,24,sphere,2,0.0,0,4.940754995073699,6.726681512137411
18,764,sphere,2,0.0,0,4.940754995073699,6.722570296014287
18,460,sphere,2,0.0,0,4.940754995073699,6.748526271009233
18,403,sphere,2,0.0,0,4.940754995073699,6.747519604133005
18,61,sphere,2,0.0,0,4.940754995073699,6.719779359405861
18,951,sphere,2,0.0,0,4.940754995073699,6.712883313653542
97,137,hyperbolic,3,0.05,2,-16.366558675297064,7.043088075136465
97,390,hyperbolic,3,0.05,2,-16.366558675297064,7.077555377834985
97,1250,hyperbolic,3,0.05,2,-16.366558675297064,7.174709061793083
97,1219,hyperbolic,3,0.05,2,-16.366558675297064,7.1486489131795885
97,446,hyperbolic,3,0.05,2,-16.366558675297064,7.070920821941784
97,676,hyperbolic,3,0.05,2,-16.366558675297064,7.03110521665403
97,619,hyperbolic,3,0.05,2,-16.366558675297064,7.053087678873432
97,163,hyperbolic,3,0.05,2,-16.366558675297064,7.047360188402485
98,137,hyperbolic,3,0.15,2,-16.366558675297064,7.054575882928954
98,390,hyperbolic,3,0.15,2,-16.366558675297064,7.089525165672265
98,1250,hyperbolic,3,0.15,2,-16.366558675297064,7.179783587087272
98,1219,hyperbolic,3,0.15,2,-16.366558675297064,7.151686310022449
98,446,hyperbolic,3,0.15,2,-16.366558675297064,7.084819206399009
98,676,hyperbolic,3,0.15,2,-16.366558675297064,7.049179825402687
98,619,hyperbolic,3,0.15,2,-16.366558675297064,7.060855340490965
98,163,hyperbolic,3,0.15,2,-16.366558675297064,7.061379541424959
99,1269,hyperbolic,3,0.0,0,-38.351464564518295,7.045409041992583
99,112,hyperbolic,3,0.0,0,-38.351464564518295,7.082561972037332
99,24,hyperbolic,3,0.0,0,-38.351464564518295,7.061595042804175
