kind_ok,m,rate_deform,rate_channel,static_score,ks,delocal_r,kind,dim,seed,rq,point
1.0,90,-0.002189155171316585,2.0923543579224693e-07,-0.0035759116472872123,0.15042779271323647,-0.20636508620128322,necklace,3,0,0.075,273
1.0,90,0.00010952353152542394,1.3375142560908178e-06,-0.0012414348214993352,6.0569930097032945,0.026733885875621047,necklace,3,0,0.075,491
1.0,90,-1.6838510818536176e-05,4.757907679694047e-06,-0.0021552094031496573,11.364988476916778,-0.04940759203033855,necklace,3,0,0.075,626
1.0,90,-0.002040672164881778,3.625887013155212e-06,-4.930943296074493e-05,14.689818090935855,-0.07099660120291186,necklace,3,0,0.075,1072
1.0,90,0.0002238386805816154,-6.127966059921164e-06,-0.0044362455373070575,17.799507480250732,0.038603787710115675,necklace,3,0,0.075,385
1.0,90,-5.856084965395708e-05,-1.0610960594921911e-05,-0.004977218006525266,19.76694501422421,0.13035806472011857,necklace,3,0,0.075,228
1.0,90,0.0001699908922551603,-1.9738120382584157e-07,-0.0013600034938158635,22.22512372341265,-0.11764060528243298,necklace,3,0,0.075,1119
1.0,90,0.00015469295370194034,2.440170099760053e-06,-0.004764804364448646,24.411933528654323,0.007684329515062209,necklace,3,0,0.075,936
1.0,90,0.0002198261828387782,-2.846282032879325e-06,-0.002302335963546973,26.91632392646017,-0.04392747764906069,necklace,3,0,0.075,246
1.0,90,-0.0022459581530835477,-1.9229493020134214e-06,0.0023790177195163915,29.0424639181102,-0.21330797763238427,necklace,3,0,0.075,271
1.0,90,-0.0003121052500875841,2.0936110238049346e-07,0.00016853330987844756,30.561787750446936,-0.015564132011199144,necklace,3,0,0.075,12
1.0,90,-0.0002282873860186553,-7.312173557020666e-07,-0.004543498896223811,32.14693386328595,-0.021766215471017758,necklace,3,0,0.075,463
1.0,90,6.923507752920456e-06,-6.034101939000891e-06,0.009264570697391894,33.61004935235025,-0.08329052583438798,necklace,3,0,0.075,664
1.0,90,0.0003041733678121712,-1.4878175698858817e-07,-0.004467152424797473,34.927219403317814,0.07571066807653949,necklace,3,0,0.075,649
1.0,90,-0.00025728577876859556,-1.573611017195257e-06,0.0006974572931843466,36.15492285309677,-0.02374646326332286,necklace,3,0,0.075,997
1.0,90,0.00045099543816446905,-1.1762484352158728e-05,0.0012006800900000504,37.10388573639734,-0.08426752683970104,necklace,3,0,0.075,31
1.0,90,-0.0021463410164893424,7.142800620899929e-06,0.003730017218955419,37.9969925323541,-0.028745700251600625,necklace,3,0,0.075,371
1.0,90,0.00027412083725685964,2.0742530875139664e-06,0.003940933038341112,39.133269775083036,-0.044728875177173506,necklace,3,0,0.075,709
1.0,90,-0.0007125774187930662,1.8830593040419785e-06,0.003329849897932076,40.03976099110309,0.005889660772566626,necklace,3,0,0.075,145
1.0,90,-0.0009492430651725782,-4.357756955878737e-06,-0.0042085317012602996,40.56775589937314,0.02587931822217285,necklace,3,0,0.075,84
1.0,90,0.0001354116577396164,-4.491457719228246e-06,0.0011667337577954693,41.282334513277306,0.05546385497623935,necklace,3,0,0.075,152
1.0,90,-0.0033854081736091634,-6.341852048545131e-06,-0.0015569357105953835,41.7456017715289,-0.10868405777930021,necklace,3,0,0.075,345
1.0,90,0.00035636650715074213,1.177621770468799e-06,-0.002546076459870902,42.152340048430865,0.11810549119487083,necklace,3,0,0.075,788
1.0,90,0.00017150759709668768,-8.681618780315148e-06,-0.0016952138606199894,42.53451230919032,0.04615032785676333,necklace,3,0,0.075,1003
1.0,90,-0.0005651101318825773,-5.029169965216814e-06,0.004913981041436441,42.973394272077094,0.0666005421359918,necklace,3,0,0.075,1057
1.0,90,-0.0010008458728247213,-3.4557475399784227e-07,0.002528878261929022,43.5825283692948,-0.1535469212627159,necklace,3,0,0.075,461
1.0,90,-0.0012752942304260124,-6.340596765556465e-06,-0.006008696786874316,43.973034800192835,-0.1307206628759634,necklace,3,0,0.075,593
