anchor,ks,V,ent0,entw,frac0,fracw,d_ent,d_frac,kind,dim,seed,mode,goal_acc
1041,39.397805857426825,0.26097729142870124,6.110914,3.7363944,0.0,0.25,-2.3745198,0.25,dumbbell,3,1,random,0.9
653,40.04371910936756,0.4837247828108916,6.251623,3.7933185,0.0,0.25,-2.4583046,0.25,dumbbell,3,1,random,0.9
165,41.03326909941983,0.4443938478329894,6.33125,4.155798,0.0,0.5,-2.1754522,0.5,dumbbell,3,1,random,0.9
532,41.9896765497902,0.056723497649548045,6.3215275,3.7612941,0.0625,0.3125,-2.5602334,0.25,dumbbell,3,1,random,0.9
521,42.771220424279555,0.4751054717916978,6.4160085,4.207343,0.0,1.0,-2.2086654,1.0,dumbbell,3,1,random,0.9
623,43.50585249952724,0.20485791117309163,6.558316,4.149556,0.0,0.625,-2.40876,0.625,dumbbell,3,1,random,0.9
536,44.24575358006882,0.18571497322407296,6.4957724,3.7676272,0.125,0.5,-2.7281451,0.375,dumbbell,3,1,random,0.9
980,44.96186263767312,0.2973426510820699,6.353712,3.9446795,0.0,0.375,-2.4090326,0.375,dumbbell,3,1,random,0.9
1306,45.48967007340306,0.19299902467437624,6.398469,3.8196683,0.0625,0.0625,-2.5788007,0.0,dumbbell,3,1,random,0.9
314,45.874420822177264,0.38590778424168226,6.4271317,4.080823,0.0,0.875,-2.3463087,0.875,dumbbell,3,1,random,0.9
1316,46.088318271334096,0.439407716650713,6.435202,4.171411,0.0,0.5625,-2.263791,0.5625,dumbbell,3,1,random,0.9
526,46.35438296761231,0.0725611183951406,6.3950205,3.7853475,0.0625,0.5,-2.609673,0.4375,dumbbell,3,1,random,0.9
1074,46.48800132041069,0.24319018456280111,6.35742,3.7771053,0.0625,0.0625,-2.5803146,0.0,dumbbell,3,1,random,0.9
338,-100.4865205510218,0.34928359469953985,6.958789,4.5800934,0.875,0.875,-2.3786955,0.0,dumbbell,3,2,proxy,1.0
1340,-45.64175449353797,0.6291883399897542,6.853966,4.7479467,0.6875,1.0,-2.1060195,0.3125,dumbbell,3,2,proxy,1.0
794,-17.021994135603165,0.8345199716837316,6.773042,5.105653,0.25,1.0,-1.6673894,0.75,dumbbell,3,2,proxy,1.0
1232,2.8282630004963543,0.6565980705547702,6.569928,4.8419213,0.25,1.0,-1.7280068,0.75,dumbbell,3,2,proxy,1.0
1177,9.040940704596613,0.7315670387933806,6.408844,4.785572,0.0,0.9375,-1.623272,0.9375,dumbbell,3,2,proxy,1.0
738,9.465931633652058,0.416937553134763,6.327864,4.762476,0.0,1.0,-1.5653882,1.0,dumbbell,3,2,proxy,1.0
788,9.909061578479333,0.7972037979312773,6.3524094,3.8105907,0.0,1.0,-2.5418186,1.0,dumbbell,3,2,proxy,1.0
1368,10.49659367764139,0.8348332946677511,6.188147,4.747546,0.0,0.5,-1.4406009,0.5,dumbbell,3,2,proxy,1.0
341,11.252825018720136,0.6553230839537545,6.372893,4.177265,0.0,0.125,-2.1956277,0.125,dumbbell,3,2,proxy,1.0
1286,11.992224735191686,0.9408278224647166,6.3071465,4.889574,0.0,1.0,-1.4175725,1.0,dumbbell,3,2,proxy,1.0
