instance,point,kind,dataset,dim,noise,seed,name,ks_true,kappa,frac,ent2,ent4
471,1419,necklace,tier2,5,0.0,1,warped(d=5),106.0981942017969,0.5507206293581347,0.0,2.881398200988769,3.814404010772705
471,936,necklace,tier2,5,0.0,1,warped(d=5),107.82085611085716,0.5061273664910513,0.0,2.956509113311768,4.074630260467529
471,546,necklace,tier2,5,0.0,1,warped(d=5),109.11203111308444,0.9124520618112312,0.0,2.9529621601104736,4.173314571380615
471,614,necklace,tier2,5,0.0,1,warped(d=5),110.12642806159022,0.7267970247206499,0.0,3.4120965003967285,4.508419513702393
471,888,necklace,tier2,5,0.0,1,warped(d=5),111.05979524742492,0.7262721291814103,0.0,3.3343505859375,4.341292858123779
471,1082,necklace,tier2,5,0.0,1,warped(d=5),111.79533016772162,0.796060166134817,0.0,2.8403682708740234,3.8598554134368896
471,13,necklace,tier2,5,0.0,1,warped(d=5),112.25254867988971,0.7344589409867419,0.0,3.0808629989624023,4.200702667236328
471,662,necklace,tier2,5,0.0,1,warped(d=5),112.49251510557367,0.4506667190426872,0.0,3.277878761291504,4.166621685028076
40,1421,hyperbolic,tier1,2,0.05,1,H2(k=1),-8.48976523081452,0.416763499476958,0.0,4.226227760314941,4.833538055419922
40,706,hyperbolic,tier1,2,0.05,1,H2(k=1),-8.48976523081452,-0.1355906562269607,0.0,4.951231956481934,5.674400806427002
40,52,hyperbolic,tier1,2,0.05,1,H2(k=1),-8.48976523081452,-0.1798144359023627,0.0,5.046285629272461,5.75439453125
40,1422,hyperbolic,tier1,2,0.05,1,H2(k=1),-8.48976523081452,0.4389260647517609,0.0,4.4095635414123535,4.975274085998535
40,1233,hyperbolic,tier1,2,0.05,1,H2(k=1),-8.48976523081452,0.2137860998756374,0.0625,4.985335350036621,5.457366466522217
40,215,hyperbolic,tier1,2,0.05,1,H2(k=1),-8.48976523081452,0.2299888827882489,0.0,4.50178337097168,4.993268966674805
40,1128,hyperbolic,tier1,2,0.05,1,H2(k=1),-8.48976523081452,0.0032897630730394,0.0,5.0480499267578125,5.631234169006348
40,764,hyperbolic,tier1,2,0.05,1,H2(k=1),-8.48976523081452,0.2958335962120526,0.0625,4.775227546691895,5.312229156494141
41,1421,hyperbolic,tier1,2,0.15,1,H2(k=1),-8.48976523081452,0.461462977456437,0.0,4.244857311248779,4.868114948272705
