v4_m60,v4_m120,v3_defect,sent,ent_cak,frac,kappa,est_dim,spread,knn_radius,patch_frac,anchor,n_points,true_dim,branch,estimator,rep,n_bucket
-0.32739786583394537,-0.460719832340201,0.023983752431901057,-7.15031362676636,-4.2444047927856445,-1.0,0.4865320427327771,2.0,0.18080471186053862,0.31117175331581015,0.5841790372126191,993,1400,4,D,plain,1,1400
-2.0162700255268406,-0.6009495253351758,0.09334854595142357,-7.153358807341254,-6.24693489074707,-1.0,0.3459560420790928,2.0,0.37037558846833474,0.2789076308621788,0.5539992336983526,232,1400,5,D,plain,0,1400
-0.27949040319075985,-0.27689867997913964,0.05383379500173199,-7.140483421392127,-4.645108222961426,-0.9375,0.5217854713516729,1.0,0.24087536951707123,0.3367364204983627,0.6372257310165805,663,1400,5,D,plain,0,1400
-0.17094037036429835,-0.26317489368181973,0.0014001191364786982,-7.1407017076376516,-4.184576511383057,-0.5,0.3479290698140155,1.0,0.2017388884719119,0.35426878403332046,0.6760484128495156,938,1400,5,D,plain,0,1400
-0.6344138405505145,-0.384728447927825,0.08184852105686508,-7.151331300146466,-6.227555274963379,-1.0,0.3903105063500101,2.0,0.3818279432956761,0.29918833905083286,0.586536060742912,740,1400,5,D,plain,1,1400
-0.42433401188587255,-0.3957270232689464,0.10468728403681017,-7.147464694941115,-5.098128318786621,-1.0,0.4332687713406204,1.0,0.28240016139139756,0.3216896252972106,0.6266494906175617,859,1400,5,D,plain,1,1400
-0.1763723541707179,-0.2515294670827687,0.07844778983244027,-7.104470701113312,-3.9823577404022217,-0.0,0.7066549748178813,1.0,0.2441574446368935,0.34165197579182954,0.9260681338346106,1361,1400,5,D,plain,1,1400
-0.04079924330544291,-0.028913125104701756,0.009145428871849938,-7.103890431867537,-5.64146614074707,-1.0,0.02776843767941853,4.0,0.24877611388136206,0.16168767528219266,0.40948059314719454,1269,1400,3,B,pca_denoise,0,1400
-0.0033837189971037723,0.0013158482064702022,0.010311976378055742,-6.889290377436778,-4.892110347747803,-0.0,0.2579380791769921,3.0,0.20922933829201806,0.15196653890888276,0.4939707814064878,358,1400,3,B,pca_denoise,0,1400
-0.03925627564539126,-0.053904139978058006,-0.012786705915816259,-6.978718069133835,-5.290023326873779,-0.0625,0.13433628656761692,3.0,0.22677671359083626,0.14532269407682485,0.42986299304925,25,1400,3,B,pca_denoise,0,1400
-0.0016373606423379938,-0.03741347650362539,-0.007597956229785966,-7.087344804990615,-5.502137660980225,-0.875,0.02702181693259678,3.0,0.22908475382853302,0.15071658112563163,0.42748538386464563,317,1400,3,B,pca_denoise,1,1400
-0.025962517717641978,-0.02165061689057209,-0.010378821821698888,-7.076355259264018,-5.571915626525879,-0.8125,0.21818627736072088,3.0,0.23305476829120558,0.18018545523872148,0.42590660450572176,363,1400,3,B,pca_denoise,1,1400
-0.0010553070395259662,0.004624144533686691,0.0019583508828657824,-6.82412411790955,-4.687371730804443,-0.0,0.23834860369773217,3.0,0.19089564453565053,0.14420981849771994,0.4981852099792745,459,1400,3,B,pca_denoise,1,1400
-0.003992541049203376,-0.03359078808798796,-0.008543257479081532,-7.096789403279576,-5.584081649780273,-1.0,-0.005421389844213739,3.0,0.23393415754498575,0.14758683334214456,0.40852793861361647,1330,1400,3,B,pca_denoise,2,1400
